nume_actiune,timestamp
create_angajat,2025-05-24T19:02:10.088392
create_angajat,2025-05-24T19:02:10.1457261
create_angajat,2025-05-24T19:02:10.1855753
nume_actiune,timestamp
create_angajat,2025-05-24T19:03:03.8463203
create_angajat,2025-05-24T19:03:03.8869976
create_angajat,2025-05-24T19:03:03.9128874
nume_actiune,timestamp
create_angajat,2025-05-24T19:06:17.7148168
create_angajat,2025-05-24T19:06:17.7577267
create_angajat,2025-05-24T19:06:17.7856358
update_angajat,2025-05-24T19:06:17.8398618
update_angajat,2025-05-24T19:06:17.8616904
update_angajat,2025-05-24T19:06:17.8789429
delete_angajat,2025-05-24T19:06:17.8976152
nume_actiune,timestamp
create_angajat,2025-05-24T19:11:05.7908426
create_angajat,2025-05-24T19:11:05.8245188
update_angajat,2025-05-24T19:11:05.8457931
update_angajat,2025-05-24T19:11:05.863642
nume_actiune,timestamp
create_angajat,2025-05-24T19:12:17.6284344
create_angajat,2025-05-24T19:12:17.6712445
update_angajat,2025-05-24T19:12:17.6941035
update_angajat,2025-05-24T19:12:17.7147586
nume_actiune,timestamp
create_sponsor,2025-05-24T19:43:54.7080959
delete_habitat,2025-05-24T19:43:54.8263898
nume_actiune,timestamp
create_sponsor,2025-05-24T19:46:08.3562727
nume_actiune,timestamp
create_sponsor,2025-05-24T19:51:46.4913414
nume_actiune,timestamp
create_sponsor,2025-05-24T19:57:02.5812565
update_sponsor,2025-05-24T19:57:02.6452926
nume_actiune,timestamp
create_sponsor,2025-05-24T19:57:22.2153412
update_sponsor,2025-05-24T19:57:22.279155
nume_actiune,timestamp
create_sponsor,2025-05-24T20:01:07.382775
update_sponsor,2025-05-24T20:01:07.4555471
nume_actiune,timestamp
create_sponsor,2025-05-24T20:02:38.011964
update_sponsor,2025-05-24T20:02:38.0854011
